method,score_method,score,ideal n clusters,execution time,best params
kmeans,SILHOUETTE,0.8670311065845322,4,2.4677987098693848,
kmeans,DAVIES,-0.16559018665371716,4,1.9221761226654053,
kmeans,CALINSKI,50128.71018238732,33,1.8664922714233398,
kmetoids,SILHOUETTE,0.8670311065845322,4,1.833115816116333,
kmetoids,DAVIES,-0.16559018665371716,4,1.1893296241760254,
kmetoids,CALINSKI,46543.68444913903,34,1.1874504089355469,
agglomerative,SILHOUETTE,0.8670311065845322,4,0.3193788528442383,"['single', 5]"
agglomerative,DAVIES,-0.16559018665371716,4,0.1986093521118164,"['average', 20]"
agglomerative,CALINSKI,56748.93076046788,69,0.17350029945373535,"['ward', 5]"
dbscan,SILHOUETTE,0.8670311065845322,69,0.19444012641906738,"[5, 2]"
dbscan,DAVIES,-0.16559018665371716,4,0.06529879570007324,"[5, 2]"
dbscan,CALINSKI,36113.11601994804,4,0.07383894920349121,"[5, 2]"
hdbscan,SILHOUETTE,0.8670311065845322,4,0.2908651828765869,"[2, 4]"
hdbscan,DAVIES,-0.16559018665371716,4,0.17085742950439453,"[2, 4]"
hdbscan,CALINSKI,36113.11601994804,4,0.14959073066711426,"[2, 4]"
kmeans,SILHOUETTE,0.8377446510558256,9,9.582098484039307,
kmeans,DAVIES,-0.22821719896766357,9,5.46597146987915,
kmeans,CALINSKI,52426.75742170025,22,5.275627851486206,
kmetoids,SILHOUETTE,0.8376202131625844,9,9.642871141433716,
kmetoids,DAVIES,-0.22877160960996157,9,5.905413866043091,
kmetoids,CALINSKI,50869.183135937725,14,5.904966831207275,
agglomerative,SILHOUETTE,0.8373633000685332,9,2.0414633750915527,"['average', 20]"
agglomerative,DAVIES,-0.2288104436854155,9,1.237417221069336,"['average', 20]"
agglomerative,CALINSKI,57779.19339263426,195,1.1638939380645752,"['ward', 5]"
dbscan,SILHOUETTE,0.7583776952661889,195,0.8004419803619385,"[2, 4]"
dbscan,DAVIES,-0.26962008179517427,11,0.15988397598266602,"[5, 2]"
dbscan,CALINSKI,17443.35464783175,9,0.15302467346191406,"[5, 2]"
hdbscan,SILHOUETTE,0.748030802910861,9,0.9754023551940918,"[5, 6]"
hdbscan,DAVIES,-0.703905077829583,11,0.40654993057250977,"[5, 6]"
hdbscan,CALINSKI,30088.293734240666,11,0.35044002532958984,"[5, 4]"
